GME_NAAM,lat,lng
Buiksloot,52.3989,4.9221
Bunde,50.8958,5.7331
Ruinen,52.7633,6.3564
IJsselmuiden,52.5647,5.9275
Meijel,51.35,5.883333333
Den Dungen,51.6653,5.3714
Scheemda,53.166666666,6.966666666
Overasselt,51.7597,5.7875
Bergum,53.1922,5.9942
Moordrecht,51.9861,4.6681
Eygelshoven,50.8925,6.0592
Grathem,51.1925,5.8578
Tegelen,51.3422,6.1364
Sevenum,51.416666666,6.033333333
Rozenburg,51.9058,4.2486
Loenen,52.2419,5.0275
Sommelsdijk,51.7547,4.1531
Heeg,52.9692,5.6075
Winsum,53.3312,6.5157
Woudsend,52.9428,5.6275
Woudsend,52.94357,5.62843
Hardegarijp,53.215,5.940277777
Ruurlo,52.083333333,6.45
Helden,51.316666666,6.0
Hummelo en Keppel,52.0,6.233333333
Hontenisse,51.351388888,4.041388888
Maasland,51.933333333,4.266666666
Berlikum,53.2431,5.6514
Graafstroom,51.8833,4.8
Giessenlanden,51.8817,4.8956
Nederlek,51.910555555,4.660555555
Lansingerland,51.9986,4.5039
Meerlo-Wanssum,51.5258,6.0817
Oost Gelre,51.9833,6.5833
Delfshaven,51.907222222,4.448333333
Didam,51.933333333,6.133333333
Zouteveen,51.95,4.33389
Dinxperlo,51.866666666,6.483333333
Gapinge,51.5439,3.6244
Duiveland,51.6494,4.0067
Wisch,51.933333333,6.316666666
Middenschouwen,51.7139,3.8611
Westerschouwen,51.705,3.7403
Mariekerke,51.5281,3.5314
Vinkeveen en Waverveen,52.220833333,4.916666666
Vleuten-De Meern,52.095833333,5.020833333
"Megen, Haren en Macharen",51.81055556,5.56555556
Engelen,51.7208,5.2658
Oldambt,53.15,7.03333333
Kaag en Braassem,52.2025,4.6314
Neede,52.133333333,6.616666666
Teylingen,52.215,4.510277777
Oost-Souburg,51.4636,3.6008
Noorder-Koggenland,52.72,5.07
Súdwest-Fryslân,53.0,5.5444
Giessenburg,51.85,4.8897
Zaltbommel,51.8,5.25
Grou,53.1,5.83
Swalmen,51.233333333,6.033333333
Havelte,52.7739,6.2383
Hengelo,52.05,6.3
Dodewaard,51.910339,5.656758
Assendelft,52.466666666,4.75
Driel,51.9592,5.8131
Velden,51.4117,6.1678
Nederhorst den Berg,52.2567,5.0458
Maasbracht,51.15,5.883333333
Amerongen,52.0025,5.4608
Zelhem,52.00667,6.34861
Ter Aar,52.166666666,4.716666666
Maarn,52.0642,5.3731
Schipluiden,51.983333333,4.316666666
Terborg,51.9203,6.3575
Katendrecht,51.9006,4.4825
Tudderen,51.013889,5.900833
Achttienhoven,52.148333333,5.138888888
Koudekerke,51.4808,3.5528
Melissant,51.7681,4.0761
Ambt Ommen,52.5,6.416667
Rilland,51.4164,4.1808
Linden,51.7483,5.8325
Rinsumageest,53.2967,5.9475
Hemelumer Oldeferd,52.9089,5.47669
Goudriaan,51.9028,4.8881
Tempel,51.96556,4.44611
Bakel en Milheeze,51.5,5.766666666
Maurik,51.96,5.42361
Limbricht,51.0117,5.8369
Katwoude,52.4694,5.0506
Hoog- en Woud-Harnasch,52.002981,4.31767
Varik,51.8233,5.3692
Haskerland,52.951327,5.846786
Gestel en Blaarthem,51.425,5.461667
Oostburg,51.3519,3.4978
Nieuwenhagen,50.9039,6.04
Bakel,51.5025,5.7408
Megen,51.8203,5.5625
Lienden,51.9467,5.5189
Heer Oudelands Ambacht,51.819864,4.619837
Noordeloos,51.9042,4.9417
Stad Delden,52.25,6.7
Ambt Almelo,52.35,6.683333333
Midwolda,53.1928,7.0161
Pol en Panheel,51.171944,5.88202
Wissekerke,51.501437,3.845429
Valburg,51.9111,5.7892
Usquert,53.4028,6.6128
Heeswijk,51.651388888,5.467222222
Hernen,51.8331,5.6806
Zonnemaire,51.7125,3.9508
Avereest,52.6006,6.3908
Buurmalsen,51.8928,5.2925
Sneek,53.0333,5.6667
Klaaswaal,51.7694,4.4453
Ossenisse,51.3883,3.9778
Clinge,51.2706,4.0881
Stiens,53.2608,5.7575
Pannerden,51.89,6.0378
Moergestel,51.55,5.183333
Jutphaas,52.0379,5.09378
Watergraafsmeer,52.349,4.938
Molenwaard,51.8913,4.7718
Oud en Nieuw Gastel,51.584217,4.465256
Oude en Nieuwe Struiten,51.824851,4.14691
Valkenburg-Houthem,50.86567,5.832024
Darthuizen,52.0125,5.3981
Brouwershaven,51.703631,3.947869
Empel en Meerwijk,51.73555556,5.305
Ambt Delden,52.216666666,6.683333333
Deursen en Dennenburg,51.802,5.625
Amby,50.866666666,5.733333333
Dalen,52.7,6.75
Ursem,52.6272,4.8917
Spijk,51.855,5.0078
Onwaard,51.7625,4.1125
Oldeboorn,53.0482,5.8934
Vlijmen,51.6953,5.2119
Sinoutskerke en Baarsdorp,51.47805556,3.85333333
Peize,53.1478,6.4961
Koewacht,51.233333333,3.966666666
Berkenrode,52.35,4.61667
Grubbenvorst,51.4189,6.1431
Roordahuizum,53.1175,5.7842
De Mijl,51.804167,4.645833
Wirdum,53.1497,5.8039
Wieldrecht,51.783333333,4.65
Schoonebeek,52.6617,6.8831
Strijp,51.45538,5.42998
Westdongeradeel,53.380871,5.964203
Hoornaar,51.8767,4.9469
Bath,51.4031,4.2094
Gasselte,52.9719,6.7922
Gasselte,52.9719,6.79222
Haelen,51.23575,5.954675
Augustinusga,53.2172,6.1628
Beilen,52.8567,6.5111
Nunhem,51.2447,5.9611
Achttienhoven,52.146666666,4.856944444
Berghem,51.77,5.5747
Ambt Vollenhove,52.683333,5.983333
Indijk,52.105397,4.940458
Zesgehuchten,51.4211,5.5378
Sappemeer,53.1633,6.7767
Nieuwenhoorn,51.8542,4.1453
Nieuw-Beijerland,51.8119,4.3425
Posterholt,51.1219,6.0378
Hurwenen,51.8106,5.3178
Lent,51.8631,5.8667
Sluis-Aardenburg,51.30937,3.38791
Ammerzoden,51.75,5.22
Achthoven,52.0561,4.9942
Bergharen,51.85,5.6689
Doniawerstal,52.931877777,5.677527777
Burum,53.2736,6.2292
Oude Pekela,53.1025,7.0067
Oude Pekela,53.1,7.01667
Stellendam,51.8047,4.0242
Opijnen,51.8278,5.2983
Hoogvliet,51.866666666,4.35
Gorredijk,53.0033,6.0697
Hoogmade,52.16917,4.58194
Hoogmade,52.1692,4.5822
Herkingen,51.71,4.0872
Bleskensgraaf,51.8719,4.7828
"Vessem, Wintelre en Knegsel",51.4167,5.28333
De Friese Meren,52.925,5.683333333
Duivendijke,51.714167,3.9
Maasdam,51.7881,4.5561
Odijk,52.0503,5.2333
Lange Ruige Weide,52.043728,4.798365
IJzendoorn,51.906388888,5.533055555
Tull en 't Waal,52.0006,5.1331
Reiderland,53.166666666,7.083333333
Reiderland,53.1667,7.08333
Zuilen,52.127222,5.069444
Hooge en Lage Zwaluwe,51.698949,4.724464
Rijsoort en Strevelshoek,51.848055555,4.590833333
Meliskerke,51.5153,3.5119
Heerewaarden,51.8178,5.3917
Nederwetten en Eckart,51.48805556,5.51472222
Asperen,51.8814,5.1067
Peursum,51.85,4.916666666
Zuid-Waddinxveen,52.035096,4.655285
Smilde,52.9486,6.4483
Dinteloord en Prinsenland,51.634428,4.368782
Ackersdijk en Vrouwenregt,51.966667,4.4
Oudhuizen,52.2,4.933333333
Ginneken en Bavel,51.56666667,4.81666667
"Dieden, Demen en Langel",51.81666667,5.61666667
Nieuwpoort,51.9347,4.8681
Rolde,52.9869,6.6461
Rolde,52.9869,6.64611
Wilp,52.2186,6.1497
Hoeven,51.5775,4.580833333
Benthorn,52.0761,4.5625
Hoenkoop,52.015278,4.809167
Ambt Hardenberg,52.55,6.6
Herten,51.1803,5.9633
Herwen,51.883333333,6.1
Almenum,53.18333333,5.43333333
Helvoirt,51.6308,5.2297
Heythuysen,51.249639,5.898286
Vaesrade,50.9292,5.9061
Abcoude-Proostdij,52.270833333,4.980555555
Kollum,53.2792,6.1508
Houtrijk en Polanen,52.383877,4.753261
De Rijp,52.5569,4.8453
Groede,51.3789,3.5069
Duizel en Steensel,51.36916667,5.30861111
Graft,52.5608,4.8339
Aengwirden,53.0,5.916666666
Maire,51.42083,4.15833
Kantens,53.3656,6.6339
Uithuizen,53.4067,6.6722
Snelrewaard,52.033055555,4.916944444
Piershil,51.7933,4.3147
Vlaardinger-Ambacht,51.916666666,4.333888888
Nieuwer-Amstel,52.353333,4.906944
Warder,52.5641,5.0311
Koudum,52.9147,5.4503
Hennaarderadeel,53.108247,5.587234
Nieuwendam,52.3915,4.9341
Rietveld,52.0897,4.8511
Balk,52.8983,5.5783
Menaldum,53.215833,5.660556
Ooltgensplaat,51.6825,4.3492
Ittervoort,51.1719,5.8211
Nieuw-Helvoet,51.8381,4.1297
Wijngaarden,51.8444,4.7611
Andel,51.7839,5.0539
Oudshoorn,52.133333,4.666667
Loenersloot,52.2297,5.0014
Zeeland,51.6967,5.6731
Mildam,52.9361,6.0017
Schellingwoude,52.3844,4.9661
Langweer,52.9578,5.7228
Krimpen aan de Lek,51.89305556,4.6275
Nieuw-Ginneken,51.542705,4.806519
"Drongelen, Haagoort, Gansoijen en Doeveren",51.715,5.05416667
Beugen en Rijkevoort,51.667,5.917
Berkhout,52.6419,4.9969
Bozum,53.0886,5.6958
Barsingerhorn,52.785277777,4.841666666
Berg en Terblijt,50.861119444,5.784469444
Baexem,51.2244,5.88
